Date,Nifty 50,Bank Nifty,Nifty Next 50,GoldBees,GiltBees
2010-01-31,-0.06133377144600649,-0.04185731910131629,-0.038236655475901604,-0.026625293058567423,0.014148441469897799
2010-02-28,0.008244487788992672,0.008229744745619216,0.011441382401434552,0.026507746158946688,0.0019844751815829564
2010-03-31,0.06639178959752479,0.08447443750509409,0.06671318825006756,-0.025693003333561726,-6.733644910461578e-05
2010-04-30,0.005505687033221962,0.04342159312784988,0.028620451697775717,0.03915482858436259,0.009731925230291205
2010-05-31,-0.036320612980769273,-0.0513304431598276,-0.02349280987464153,0.07545474435285215,0.010824650438294059
2010-06-30,0.044472446375267705,0.010775508279971424,0.04460466686917064,0.031046602005215362,0.01768723560882779
2010-07-31,0.010371783088235276,0.07357952015743052,0.022982085152327247,-0.05401756209947717,0.008547377638563614
2010-08-31,0.006483308006253186,0.05760747766667573,0.02017849325359622,0.05989727301382497,0.012867444114878834
2010-09-30,0.11616139203180742,0.15074889128031344,0.06676785994104728,0.013428432490996345,7.400627825360218e-05
2010-10-31,-0.002031525900416664,-0.002878781836366473,0.035334861527839045,0.006426102054875704,0.0015227213430808462
2010-11-30,-0.025757348317341777,-0.030667227073511216,-0.05304678662499218,0.05023612251799614,-0.00834937682116732
2010-12-31,0.04636085688038705,-0.013482366667429191,-0.02021268108474661,0.009873170540973142,-0.006753968937366683
2011-01-31,-0.10246965484656456,-0.09749447276675549,-0.09708916756352592,-0.02666805217284851,-0.0008505239187682756
2011-02-28,-0.03135725411031476,-0.019404472389832672,-0.04276436392174432,0.03240815759849758,0.0029044521887193753
2011-03-31,0.09384521633150511,0.12171136794927495,0.07950160658256311,0.0022775424979306624,-0.0022309539752237706
2011-04-30,-0.014441825583886847,-0.018939964669493548,0.008612957184563896,0.06535592314524163,0.01567572468977585
2011-05-31,-0.04807372855791803,-0.04030912586656443,-0.011910276131548714,0.01569595981885219,0.012397516309524015
2011-06-30,0.031846631996031105,0.020307005118819665,-0.0005604316166136769,-0.02588506744793273,-0.004452027236763301
2011-07-31,-0.029287797075448263,-0.031214859183136823,-0.01042738727712722,0.04564737894313886,0.01686689569151789
2011-08-31,-0.08774170010944915,-0.12486624793544898,-0.10152683154784281,0.16061223226678312,0.015204818124316732
2011-09-30,-0.011547690461907623,-0.006828763802501747,-0.007272981818914226,-0.026607494543119503,0.007705871577634138
2011-10-31,0.07755021446543275,0.055062768773646464,0.013190370439672527,0.031282228506062326,0.0012646966409288751
