Date,RiskOn,Momentum,Signal,Position,Strat_Ret,Strat_Eq
2009-01-31,2874.800048828125,-0.440422789606575,0,0.0,0.0,100.0
2009-02-28,2763.64990234375,-0.47091990000119655,0,0.0,0.0,100.0
2009-03-31,3020.949951171875,-0.3619284082433467,0,0.0,0.0,100.0
2009-04-30,3473.949951171875,-0.3275227904443606,0,0.0,0.0,100.0
2009-05-31,4448.9501953125,-0.08647664193728377,0,0.0,0.0,100.0
2009-06-30,4291.10009765625,0.062008896264208246,1,0.0,0.0,100.0
2009-07-31,4636.4501953125,0.0700446546393112,1,1.0,0.07948055039426294,107.94805503942628
2009-08-31,4662.10009765625,0.06928901322391057,1,1.0,0.0055322285936949545,108.54524835614916
2009-09-30,5083.9501953125,0.2965291896918263,1,1.0,0.09048499363373264,118.36696446262724
2009-10-31,4711.7001953125,0.6328320057721963,1,1.0,-0.07322062288163678,109.70006159606511
2009-11-30,5032.7001953125,0.8266850629470026,1,1.0,0.06812827359417972,117.17373740578022
2009-12-31,5201.0498046875,0.7576161993578248,1,1.0,0.03345115004700694,121.09333367730954
2010-01-31,4882.0498046875,0.6982223882588301,1,1.0,-0.06133377144600649,113.66622282591044
2010-02-28,4922.2998046875,0.781086598745043,1,1.0,0.008244487788992672,114.60334261201956
2010-03-31,5249.10009765625,0.7375660578620442,1,1.0,0.06639178959752479,122.21206362188981
2010-04-30,5278.0,0.5193080136976529,1,1.0,0.005505687033221962,122.88492499587616
2010-05-31,5086.2998046875,0.14325842758287655,1,1.0,-0.036320612980769273,118.42166919393007
2010-06-30,5312.5,0.23802751720977722,1,1.0,0.044472446375267705,123.68817052682681
2010-07-31,5367.60009765625,0.15769605442606727,1,1.0,0.010371783088235276,124.9710374021117
2010-08-31,5402.39990234375,0.15879105750210432,1,1.0,0.006483308006253186,125.7812631294506
2010-09-30,6029.9501953125,0.18607578037885397,1,1.0,0.11616139203180742,140.39218974608661
2010-10-31,6017.7001953125,0.2771823218504632,1,1.0,-0.002031525900416664,140.10697937640123
2010-11-30,5862.7001953125,0.16492140755236506,1,1.0,-0.025757348317341777,136.49819510691265
2010-12-31,6134.5,0.1794734198605863,1,1.0,0.04636085688038705,142.82636839469538
2011-01-31,5505.89990234375,0.12778445993264143,1,1.0,-0.10246965484656456,128.19099972230265
